NAME,COUNTY,GNIS_MATCH,GNIS_COUNT,GNIS_LAT,GNIS_LON,GNIS_SIMIL,INCORP_YR,YR_1850,YR_1860,YR_1870,YR_1880,YR_1890,YR_1900,YR_1910,YR_1920,YR_1930,YR_1940,YR_1950,YR_1960,YR_1970,YR_1980,YR_1990,YR_2000
Centerville,Mendocino,Centerville High School,Mendocino,39.32142360000,-123.10555500000,0.93333333333,0,0,0,0,203,0,0,0,0,0,0,1,0,0,0,0,0
Centerville,Alameda,Centerville District,Alameda,37.55410300000,-121.99912780000,0.94117647059,0,0,0,0,203,0,0,0,0,0,0,1,0,0,0,0,0
Central colony,Fresno,Center Branch Washington Colony Canal,Fresno,36.64717180000,-119.77236340000,0.87065928130,0,0,0,0,257,510,0,0,0,0,0,0,0,0,0,0,0
Centreville,Fresno,Centerville,Fresno,36.73383940000,-119.49790710000,0.98326435959,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Centreville,Butte,Centerville,Butte,39.78766150000,-121.65525230000,0.98463757128,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Centreville & vicinity,El Dorado,Cedarville,El Dorado,38.56879560000,-120.64854080000,0.89984069174,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerritos,Los Angeles,Cerritos,Los Angeles,33.85834840000,-118.06478710000,1.00000000000,1956,0,0,0,166,0,0,0,0,0,0,0,4,16,53,53,51
Cerro Gordo,Inyo,Cerro Gordo Mine,Inyo,36.53937990000,-117.79174400000,0.97037037037,0,0,0,474,55,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,Butte,Cherokee,Butte,39.64627390000,-121.53830360000,1.00000000000,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,Nevada,Cherokee,Nevada,39.37017060000,-121.04300770000,1.00000000000,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0
Chico,Butte,Chico,Butte,39.72849450000,-121.83747770000,1.00000000000,1872,0,0,0,3,3,3,4,9,8,9,12,15,20,27,40,60
Chinese Camp,Tuolumne,Chinese Camp,Tuolumne,37.87103810000,-120.43325110000,1.00000000000,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,146
Chualar,Monterey,Chualar,Monterey,36.58246180000,-121.46216010000,1.00000000000,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
Cincinnati & vicinity,El Dorado,Eldorado Ranch,El Dorado,38.66323780000,-120.74743300000,0.58579872941,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisco,Placer,Cisco,Placer,39.30156910000,-120.54687420000,1.00000000000,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,Nevada,Hinton,Nevada,39.37518530000,-120.07380820000,0.76602441534,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
Cloverdale,Sonoma,Cloverdale,Sonoma,38.80546240000,-123.01722270000,1.00000000000,1872,0,0,0,430,763,750,823,718,759,809,1,3,3,4,5,7
Cobb Valley,Plumas,Cobb Valley,Lake,38.84323640000,-122.74943500000,0.78000000000,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
Cold Springs,El Dorado,Cold Springs,El Dorado,38.74184690000,-120.87021540000,1.00000000000,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coldstream,Placer,Coldstream Valley,Placer,39.31685060000,-120.22880960000,0.96000000000,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
